onset_s,event_time_s,duration_s,end_s,type,channel,confidence,notes,finger_id,action_id,trial_id,block_id,session_mode,source,lsl_ts_mono,local_ts,event_id,event_index,label
423.03978148428723,423.03978148428723,9.383791791740805,432.42357327602804,rest,n/a,,,0,0,0,0,,keyboard,3025511.62400975,1771283291.206149,0,0,rest
441.1995205259882,441.1995205259882,8.299907458014786,449.499427984003,rest,n/a,,,0,0,0,0,,keyboard,3025528.699864458,1771283308.2813702,1,1,rest
481.49374031694606,481.49374031694606,7.908886875025928,489.402627191972,rest,n/a,,,0,0,0,0,,keyboard,3025568.603063666,1771283348.183093,2,2,rest
552.9819791922346,552.9819791922346,0.6618750840425491,553.6438542762771,thumb_open,n/a,,,1,1,0,0,,keyboard,3025632.84429075,1771283412.421949,3,3,thumb_open
555.471991692204,555.471991692204,0.5752783748321235,556.0472700670362,thumb_open,n/a,,,1,1,0,0,,keyboard,3025635.247706541,1771283414.8252711,4,4,thumb_open
557.9840704011731,557.9840704011731,0.6276584998704493,558.6117289010435,thumb_open,n/a,,,1,1,0,0,,keyboard,3025637.812165375,1771283417.389639,5,5,thumb_open
560.2043995670974,560.2043995670974,0.724182709120214,560.9285822762176,thumb_open,n/a,,,1,1,0,0,,keyboard,3025640.12901875,1771283419.706402,6,6,thumb_open
563.0522887762636,563.0522887762636,0.7082212907262146,563.7605100669898,thumb_open,n/a,,,1,1,0,0,,keyboard,3025642.960946541,1771283422.538228,7,7,thumb_open
565.4461752343923,565.4461752343923,0.6921115419827402,566.138286776375,thumb_open,n/a,,,1,1,0,0,,keyboard,3025645.33872325,1771283424.915914,8,8,thumb_open
567.9577322341502,567.9577322341502,0.7071305001154542,568.6648627342656,thumb_open,n/a,,,1,1,0,0,,keyboard,3025647.865299208,1771283427.442396,9,9,thumb_open
570.4399694842286,570.4399694842286,0.7159045417793095,571.155874026008,thumb_open,n/a,,,1,1,0,0,,keyboard,3025650.3563105,1771283429.933316,10,10,thumb_open
572.9944428172894,572.9944428172894,0.7510142088867724,573.7454570261762,thumb_open,n/a,,,1,1,0,0,,keyboard,3025652.9458935,1771283432.522806,11,11,thumb_open
575.4271924421191,575.4271924421191,0.7358243749476969,576.1630168170668,thumb_open,n/a,,,1,1,0,0,,keyboard,3025655.363453291,1771283434.940274,12,12,thumb_open
578.0921716094017,578.0921716094017,0.8247242076322436,578.916895817034,thumb_open,n/a,,,1,1,0,0,,keyboard,3025658.117332291,1771283437.6940491,13,13,thumb_open
580.4280767343007,580.4280767343007,0.8330549169331789,581.2611316512339,thumb_open,n/a,,,1,1,0,0,,keyboard,3025660.461568125,1771283440.038201,14,14,thumb_open
583.2485971921124,583.2485971921124,0.7594534591771662,584.0080506512895,thumb_open,n/a,,,1,1,0,0,,keyboard,3025663.208487125,1771283442.785017,15,15,thumb_open
585.7648093169555,585.7648093169555,0.707854500040412,586.4726638169959,thumb_open,n/a,,,1,1,0,0,,keyboard,3025665.673100291,1771283445.2495391,16,16,thumb_open
