lsl_timestamp,ch1,ch2,ch3,ch4
776050.1826850285,-67.87109375,-37.59765625,-38.0859375,-76.171875
776050.1835881744,-62.01171875,-32.2265625,-32.2265625,-57.6171875
776050.1844913203,-63.4765625,-31.25,-32.71484375,-30.76171875
776050.1853944662,-59.08203125,-28.3203125,-31.25,-26.85546875
776050.2331252269,-64.453125,-26.3671875,-29.78515625,-48.828125
776050.2367616482,-61.03515625,-27.34375,-27.83203125,-55.17578125
776050.2403980695,-42.96875,-23.4375,-23.92578125,-24.4140625
776050.2440344908,-38.0859375,-27.34375,-26.85546875,-6.8359375
776050.2476709121,-59.5703125,-30.76171875,-32.71484375,-35.15625
776050.2513073334,-57.12890625,-26.3671875,-33.203125,-51.26953125
776050.2549437546,-36.1328125,-20.99609375,-33.203125,-35.64453125
776050.2585801759,-43.45703125,-21.484375,-39.55078125,-19.53125
776050.2622165972,-40.52734375,-27.34375,-40.0390625,-36.62109375
776050.2658530185,-30.76171875,-28.3203125,-38.57421875,-65.4296875
776050.2694894398,-38.57421875,-25.390625,-37.59765625,-54.19921875
776050.2731258611,-19.53125,-25.390625,-35.15625,-16.6015625
776050.2767622824,-23.92578125,-34.1796875,-35.64453125,-12.20703125
776050.2803987036,-42.96875,-36.1328125,-32.71484375,-35.15625
776050.2840351249,-37.59765625,-29.296875,-30.76171875,-45.8984375
776050.2876715462,-27.34375,-27.83203125,-33.69140625,-22.94921875
776050.2913079675,-24.4140625,-24.90234375,-32.71484375,-11.71875
776050.2949443888,-45.41015625,-20.5078125,-32.71484375,-43.9453125
776050.2985808101,-60.05859375,-21.484375,-40.0390625,-59.5703125
776050.3022172314,-36.62109375,-20.5078125,-40.52734375,-15.13671875
776050.32313717,-22.94921875,-20.99609375,-37.59765625,-4.39453125
776050.328173456,-41.9921875,-25.390625,-36.1328125,-27.34375
776050.333209742,-52.734375,-29.296875,-35.64453125,-36.62109375
776050.3382460279,-37.109375,-28.80859375,-30.2734375,-21.484375
776050.3432823139,-31.73828125,-23.4375,-25.87890625,-10.25390625
776050.3483185999,-53.22265625,-26.85546875,-26.3671875,-25.390625
776050.3533548858,-61.5234375,-27.34375,-27.34375,-41.50390625
776050.3583911718,-38.0859375,-27.34375,-27.83203125,-30.76171875
776050.3634274577,-30.76171875,-27.83203125,-22.94921875,-15.625
776050.3684637437,-29.296875,-21.484375,-22.4609375,-27.34375
776050.3735000297,-34.1796875,-21.484375,-25.390625,-49.8046875
776050.3785363156,-52.24609375,-28.80859375,-26.3671875,-37.59765625
776050.3835726016,-47.8515625,-31.25,-27.83203125,-18.5546875
776050.3886088876,-51.7578125,-25.87890625,-27.34375,-26.3671875
776050.3936451735,-60.546875,-24.4140625,-27.83203125,-42.96875
776050.3986814595,-49.8046875,-25.390625,-26.3671875,-51.26953125
776050.4037177454,-32.71484375,-24.90234375,-23.92578125,-30.76171875
776050.4087540314,-28.80859375,-23.92578125,-32.2265625,-23.4375
776050.4137903174,-31.73828125,-32.71484375,-39.55078125,-41.50390625
776050.4188266033,-32.2265625,-39.55078125,-33.203125,-45.8984375
776050.3911377878,-22.94921875,-26.85546875,-31.25,-24.90234375
776050.3958088168,-20.99609375,-22.4609375,-30.76171875,-3.41796875
776050.4004798457,-30.2734375,-25.390625,-31.25,-19.53125
776050.4051508746,-37.109375,-26.3671875,-31.73828125,-50.29296875
776050.4098219036,-22.94921875,-20.5078125,-26.3671875,-37.109375
776050.4144929325,1.46484375,-14.6484375,-23.4375,-7.8125
776050.4191639614,-2.9296875,-18.5546875,-23.92578125,-19.53125
776050.4238349904,-23.4375,-29.296875,-30.76171875,-31.73828125
776050.4285060193,-15.625,-31.25,-34.1796875,-28.80859375
776050.4331770482,-2.44140625,-27.34375,-31.73828125,-16.6015625
776050.4378480772,2.9296875,-20.5078125,-36.62109375,-3.41796875
776050.4425191061,0.9765625,-18.06640625,-38.0859375,-14.16015625
776050.447190135,-4.39453125,-15.625,-33.203125,-32.2265625
776050.451861164,3.41796875,-12.20703125,-35.15625,-18.5546875
776050.4565321929,0.9765625,-11.71875,-37.59765625,-17.578125
776050.4612032218,-17.578125,-17.08984375,-39.55078125,-32.2265625
776050.4658742507,-16.11328125,-16.6015625,-40.0390625,-41.9921875
776050.4705452797,0.9765625,-13.18359375,-35.64453125,-22.94921875
776050.4752163086,6.8359375,-14.16015625,-36.62109375,4.39453125
776050.4798873375,-8.30078125,-12.6953125,-34.1796875,-1.953125
776050.4703694182,-15.13671875,-13.18359375,-31.73828125,-25.390625
