lsl_timestamp,ch1,ch2,ch3,ch4
49027.27856193699,-998.53515625,-635.25390625,-582.51953125,-1000.0
49027.28246898741,-1000.0,-604.4921875,-565.91796875,-863.28125
49027.28637603783,-1000.0,-587.890625,-587.40234375,-916.9921875
49027.29028308825,-996.09375,-611.328125,-589.84375,-1000.0
49027.295762555026,-998.046875,-636.23046875,-564.453125,-959.47265625
49027.30020828405,-1000.0,-608.88671875,-551.26953125,-711.9140625
49027.30465401307,-1000.0,-594.7265625,-564.453125,-819.3359375
49027.30909974209,-992.1875,-598.6328125,-560.546875,-936.03515625
49027.31354547111,-981.93359375,-613.28125,-562.98828125,-1000.0
49027.31799120013,-1000.0,-608.88671875,-523.92578125,-406.25
49027.32243692915,-974.609375,-582.03125,-512.6953125,-170.8984375
49027.32688265817,-896.484375,-581.54296875,-570.80078125,-1000.0
49027.33132838719,-939.94140625,-617.1875,-561.03515625,-991.2109375
49027.33577411621,-1000.0,-632.32421875,-566.89453125,-940.91796875
49027.34021984523,-986.81640625,-609.86328125,-591.796875,-979.00390625
49027.34466557425,-971.6796875,-590.33203125,-602.05078125,-1000.0
49027.34911130327,-991.69921875,-612.79296875,-537.59765625,-837.890625
49027.35355703229,-994.62890625,-621.09375,-517.578125,-621.58203125
49027.35800276131,-993.65234375,-604.4921875,-579.1015625,-875.48828125
49027.362448490334,-997.0703125,-601.07421875,-602.05078125,-1000.0
49027.366894219354,-998.53515625,-612.79296875,-546.875,-731.4453125
49027.371339948375,-999.51171875,-637.6953125,-509.765625,-443.359375
49027.375785677395,-943.84765625,-610.83984375,-590.33203125,-936.5234375
49027.380231406416,-923.828125,-585.44921875,-597.65625,-1000.0
49027.36580153584,-981.93359375,-594.7265625,-563.4765625,-894.04296875
49027.36857522855,-1000.0,-625.48828125,-576.66015625,-957.03125
49027.37134892127,-998.53515625,-630.859375,-599.609375,-1000.0
49027.37412261398,-1000.0,-610.83984375,-591.796875,-979.98046875
49027.3768963067,-993.65234375,-592.7734375,-573.73046875,-960.9375
49027.37966999941,-994.140625,-608.3984375,-554.6875,-962.40234375
49027.38244369213,-997.55859375,-610.83984375,-561.5234375,-926.26953125
49027.38521738484,-983.3984375,-583.49609375,-578.125,-1000.0
49027.38799107756,-990.72265625,-577.1484375,-530.2734375,-459.47265625
49027.39076477027,-1000.0,-608.88671875,-485.3515625,213.37890625
49027.39353846299,-986.328125,-626.953125,-558.59375,-583.49609375
49027.3963121557,-973.14453125,-607.421875,-582.51953125,-1000.0
49027.39908584842,-994.62890625,-592.7734375,-566.89453125,-938.4765625
49027.40185954113,-989.2578125,-604.98046875,-575.1953125,-989.74609375
49027.40463323385,-994.140625,-638.18359375,-564.94140625,-1000.0
49027.40740692656,-1000.0,-634.765625,-554.19921875,-943.359375
49027.41018061928,-1000.0,-604.98046875,-554.19921875,-944.82421875
49027.41295431199,-950.68359375,-575.68359375,-555.17578125,-941.40625
49027.41572800471,-948.73046875,-601.07421875,-564.453125,-1000.0
49027.41850169742,-1000.0,-620.60546875,-536.1328125,-761.23046875
49027.44301267743,-995.60546875,-588.8671875,-520.01953125,-402.83203125
49027.446799889,-979.4921875,-576.171875,-579.58984375,-884.765625
49027.450587100575,-980.46875,-608.3984375,-578.61328125,-1000.0
49027.45437431215,-996.09375,-626.46484375,-566.40625,-785.15625
49027.45816152372,-997.55859375,-601.07421875,-563.96484375,-845.21484375
49027.46194873529,-966.30859375,-582.51953125,-588.37890625,-1000.0
49027.46573594686,-970.703125,-604.00390625,-579.58984375,-979.98046875
49027.469523158434,-1000.0,-632.8125,-581.0546875,-984.375
49027.473310370005,-992.1875,-610.83984375,-591.30859375,-987.79296875
49027.47709758158,-993.1640625,-583.0078125,-572.75390625,-940.4296875
49027.48088479315,-1000.0,-592.28515625,-575.68359375,-1000.0
49027.48467200472,-1000.0,-628.90625,-512.20703125,-447.265625
49027.48845921629,-1000.0,-612.3046875,-500.48828125,-197.75390625
49027.492246427864,-977.05078125,-585.44921875,-589.35546875,-996.58203125
49027.496033639436,-976.07421875,-596.6796875,-584.47265625,-1000.0
49027.49982085101,-1000.0,-629.39453125,-559.08203125,-915.0390625
49027.50360806258,-1000.0,-623.53515625,-572.265625,-960.9375
49027.50739527415,-965.33203125,-583.0078125,-603.02734375,-1000.0
49027.51118248572,-964.35546875,-579.58984375,-570.80078125,-893.06640625
49027.514969697295,-1000.0,-608.88671875,-536.1328125,-776.85546875
