lsl_timestamp,time_s,ch1,ch2,ch3,ch4,pred_action,pred_finger,action_confidence,action_uncertainty,finger_confidence,finger_uncertainty,velocity,latency_ms
753364.3304609742,0.21666759182699025,0.7169662850267057,0.6344000681941169,-0.8878220880037355,0.40484240705638985,0.9623374309584063,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753364.3329849025,0.21919152012560517,0.6160350712069189,0.6722552693176134,1.5191735325269293,0.8280966854590319,-1.365076101005283,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753364.3355088308,0.22171544842422009,-0.16481831750085726,-0.17584931753122457,1.297182678988884,0.13063923112496612,-1.4569091960022944,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753364.3380327591,0.224239376722835,0.03438201793111321,-0.2378706611814045,-0.07285094838751596,-0.03498712585036297,-0.6090457365137876,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753364.3405566874,0.22676330502144992,0.4574606719874903,-0.2168972300227556,-0.5745326332008868,0.29231758387507784,-0.2729738476550758,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753364.3430806157,0.22928723332006484,0.11416077357809763,-0.7558218545585154,-0.1692742147440565,0.24439446303895898,-0.4040666560229207,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753364.345604544,0.23181116161867976,-0.4956318063325104,-0.8899507440971912,0.38319973068161867,-0.17797161581936763,-0.48196451022363906,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753364.3481284723,0.23433508991729468,-0.02486839456977812,0.10467974384753374,0.4910110838262637,0.04862300212961519,-0.46442806944248327,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753364.3741369863,0.2603436039062217,1.3899732333616028,1.4523009230468538,0.4860749754532171,1.119067690307875,-0.7019464378965997,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753364.3778763709,0.26408298849128187,1.3924634541878331,1.0560542309222152,0.12376242387708516,1.2444669560604602,-0.05561801945248876,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753364.3816157555,0.26782237307634205,0.291942434948161,-0.086962613605009,-0.6073437268910092,0.310634034800642,0.996330438605277,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753364.3853551401,0.2715617576614022,-0.29636306777206756,-0.3955360286596366,-0.8375123677459314,-0.1888349721381479,1.7454787571454853,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753364.3890945247,0.2753011422464624,0.9691595157094731,0.4168251988256646,0.2553642765246514,1.3602404965928416,1.410805710412612,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753364.3928339093,0.2790405268315226,1.233695229740297,0.8377503789012228,1.0219560436378905,1.3681654129375496,-0.8314402389944114,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753364.3965732938,0.28277991141658276,0.6361296367893893,0.564241401639681,-0.6860719658529073,0.055514032188228715,-0.7920221478145661,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753364.4003126784,0.28651929600164294,0.08196373552884408,0.5400577071896889,-1.3935881141872333,-0.9156293380972467,-0.9954181078174117,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753364.404052063,0.2902586805867031,-0.06646305900271503,-0.020254415318293917,0.45736545028830516,-0.1461581736845057,-1.3082744280137633,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753364.4077914476,0.2939980651717633,0.615305541203146,0.16071982009248473,-0.1347753761848527,0.44201057557016615,-0.670917140816463,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753364.4115308322,0.2977374497568235,0.5604199454140866,-1.1523997713970004,-0.7628593847143307,0.5516353541581969,-0.8145110539168191,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753364.4152702168,0.30147683434188366,-0.9774311273960391,-1.8435667224737968,1.4384119892592695,-0.028545440113154616,-0.9756642258607081,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753364.4190096013,0.30521621892694384,-0.7964652328886156,-0.7746687503414735,2.0799550836980574,-0.053815220213542944,-1.558036232614979,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753364.4227489859,0.308955603512004,0.44339865443832244,-0.06529843147170784,0.4763982717459812,0.4799900041384907,-1.2060155623244593,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753364.4264883705,0.3126949880970642,0.9842634702273371,-0.3602813994971506,-1.3325123606036282,0.9535295111939303,1.3312998304205241,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753364.4302277551,0.3164343726821244,0.06484516472093706,-1.7089360700609262,-0.2100065064699084,0.9673448665082478,1.7399298556758096,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753364.4339671397,0.32017375726718456,-0.6316397624733386,-1.8831301405164473,2.1254519568752244,0.666310321302496,-1.0253334206360694,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753364.4377065243,0.32391314185224473,0.10604473352865708,0.279680005786914,1.52224464790853,0.3045035446882758,-1.7754231169218235,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753364.4414459089,0.3276525264373049,1.0357058168346907,1.6641791144985998,-0.7962847940246743,0.053535849765368196,-0.8459728125061728,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753364.4451852934,0.3313919110223651,0.35925060943398596,0.7566579897583945,-0.733473515395526,-0.3392595586786177,-0.7432787009822086,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753364.4642254816,0.35043209919240326,-0.29218303364424597,-0.45245433895349857,-0.491544155671413,-0.6082411810464691,-1.0729849079095097,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753364.4692512355,0.3554578530602157,0.7078506696212278,0.8857662737939125,-0.989418636317706,-0.20959024756941133,-1.2617900094263037,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753364.4742769893,0.36048360692802817,0.8171824320811044,0.6527149208217682,-0.9026859471588696,0.043720274552993446,-1.2279215131568026,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753364.4793027432,0.3655093607958406,-0.29149577876632315,-1.1688283664156032,-0.16863459886665794,-0.12733925550404232,-0.6872236100390166,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
753364.4843284971,0.3705351146636531,-0.0845793424794978,-0.5577969729018288,-0.11268833351158988,-0.060941995378998054,-0.5566918492489317,-1,-1,0.0,0.0,0.0,0.0,0.0,-1.0
