lsl_timestamp,time_s,ch1,ch2,ch3,ch4,pred_action,pred_finger,action_confidence,action_uncertainty,finger_confidence,finger_uncertainty,velocity,latency_ms
41304.99037287121,0.2447170070881839,1.4093568821936249,1.21507239405952,1.3612327218086504,1.2169518404836825,-1,-1,0.0,0.0,0.0,0.0,0.0,28255560.225836787
41305.00289258392,0.2572367198008578,1.1905357150582563,1.1882720481652465,0.4029751243914334,1.2802694662139182,-1,-1,0.0,0.0,0.0,0.0,0.0,28255585.741874084
41305.006888536605,0.2612326724847662,1.2241523825338831,0.8892838900046424,0.3589111020979865,1.207432792568893,-1,-1,0.0,0.0,0.0,0.0,0.0,28255608.86262939
41305.01088448929,0.2652286251686746,1.9087252134023,0.7931677979480484,0.1167513260006752,1.4363629716071735,-1,-1,0.0,0.0,0.0,0.0,0.0,28255619.26667671
41305.01488044197,0.269224577852583,2.0787085129172347,0.9429214744289688,0.010948339614615808,1.676598158844151,-1,-1,0.0,0.0,0.0,0.0,0.0,28255630.42047403
41305.01887639466,0.2732205305364914,1.295271228578515,1.4966003120509548,0.3266807743894461,1.490521731861921,-1,-1,0.0,0.0,0.0,0.0,0.0,28255638.859230347
41305.02287234734,0.2772164832203998,1.1138227199708302,1.6748076242089291,0.6857428903246394,1.320430157114469,-1,-1,0.0,0.0,0.0,0.0,0.0,28255642.189610664
41305.026868300025,0.2812124359043082,1.210175899802963,1.5150120100715294,0.7673391856053516,1.4481360906893945,-1,-1,0.0,0.0,0.0,0.0,0.0,28255650.02953297
41305.03086425271,0.2852083885882166,1.2661071011690082,1.279501925037124,0.8756258564306885,1.4158331184930768,-1,-1,0.0,0.0,0.0,0.0,0.0,28255653.21062229
41305.03486020539,0.289204341272125,1.3403781737850629,1.2812706937072436,0.7589935765112618,1.4042244299625786,-1,-1,0.0,0.0,0.0,0.0,0.0,28255660.644710608
41305.03885615808,0.2932002939560334,0.8670687116562602,0.7921466436410138,2.9624693991029005,1.3435791505276582,-1,-1,0.0,0.0,0.0,0.0,0.0,28255669.74359192
41305.04285211076,0.2971962466399418,0.4122463750765352,0.5749685555882671,2.9624693991029,1.207211278172607,-1,-1,0.0,0.0,0.0,0.0,0.0,28255673.323472243
41305.046848063444,0.3011921993238502,0.6629817657551018,1.1579202656245868,1.2011090540792253,1.3094871824388958,-1,-1,0.0,0.0,0.0,0.0,0.0,28255681.22343655
41305.05084401613,0.3051881520077586,0.9428724344195485,1.363667927990347,0.9952357669985363,1.4020225243941093,-1,-1,0.0,0.0,0.0,0.0,0.0,28255690.02123387
41305.05483996881,0.309184104691667,1.111973046737651,1.237933245433494,1.9102281540238222,1.4458550547939473,-1,-1,0.0,0.0,0.0,0.0,0.0,28255693.612739183
41305.058835921496,0.3131800573755754,0.1760561974654153,0.5741539178747823,2.1687867504211598,0.5409549685150332,-1,-1,0.0,0.0,0.0,0.0,0.0,28255701.3835365
41305.06283187418,0.3171760100594838,0.22750778276120504,0.7438252458871931,1.9844635503999637,0.516474143026682,-1,-1,0.0,0.0,0.0,0.0,0.0,28255704.581833825
41305.066827826864,0.3211719627433922,0.26480279942807305,0.573379784926061,1.959455909485091,0.6275501643936672,-1,-1,0.0,0.0,0.0,0.0,0.0,28255711.821714133
41305.07082377955,0.3251679154273006,-0.06670740954680349,0.5174631030464529,2.531994968368626,0.8593098702009131,-1,-1,0.0,0.0,0.0,0.0,0.0,28255721.136428446
41305.07481973223,0.329163868111209,-0.04334653802010479,0.2420197498406919,2.9189091008501955,1.014156653596673,-1,-1,0.0,0.0,0.0,0.0,0.0,28255724.445808772
41305.078815684916,0.3331598207951174,0.3486989132921084,-0.24890230103137498,2.757505352196973,0.9190878186965072,-1,-1,0.0,0.0,0.0,0.0,0.0,28255731.97923109
41305.075291979185,0.3331598207951174,0.18555340816084706,0.027083473296504432,2.371246989988963,0.8296904223574236,-1,-1,0.0,0.0,0.0,0.0,0.0,28255742.59506182
41305.07899983681,0.3333439726920915,-0.09262135075494649,0.44002397506387453,1.4787262466434006,0.8999530609153299,-1,-1,0.0,0.0,0.0,0.0,0.0,28255747.220204182
41305.08270769444,0.33705183031997876,1.1936078250981146,1.2950853738684278,1.3383579121330191,2.283543413546404,-1,-1,0.0,0.0,0.0,0.0,0.0,28255751.11055556
41305.08641555207,0.34075968794786604,1.642599106080664,1.1579202656245877,1.178234244403594,2.6975173117670956,-1,-1,0.0,0.0,0.0,0.0,0.0,28255759.76440593
41305.0901234097,0.3444675455757533,1.5259779941371445,1.4093896307382938,0.5834891928371584,2.7267389987003208,-1,-1,0.0,0.0,0.0,0.0,0.0,28255769.422006298
41305.093831267324,0.3481754032036406,1.1586214915150592,1.6494285701650147,2.1161014411045125,2.37120847434608,-1,-1,0.0,0.0,0.0,0.0,0.0,28255774.347607672
41305.09753912495,0.3518832608315279,0.9720277124054275,1.535124313295148,3.3970907829399124,2.346857068568392,-1,-1,0.0,0.0,0.0,0.0,0.0,28255782.912333045
41305.10124698258,0.35559111845941516,0.7387854885183893,1.5694155903561082,2.962469399102902,2.444262691679143,-1,-1,0.0,0.0,0.0,0.0,0.0,28255792.558642425
41305.10495484021,0.35929897608730244,1.3627084374162177,2.026632617835575,2.573597634617156,2.6001116886563445,-1,-1,0.0,0.0,0.0,0.0,0.0,28255796.7679928
41305.108662697836,0.3630068337151897,1.7650512736213588,1.980910915087628,2.550722824941524,2.7510904044780085,-1,-1,0.0,0.0,0.0,0.0,0.0,28255805.127177168
41305.112370555464,0.366714691343077,1.5784574945117278,2.0037717664616013,2.344849537860834,2.546538595945431,-1,-1,0.0,0.0,0.0,0.0,0.0,28255815.038860545
41305.11607841309,0.37042254897096427,1.3568773818190416,1.9923413407746144,1.4298571508355478,2.434522129368068,-1,-1,0.0,0.0,0.0,0.0,0.0,28255818.472211905
41305.11978627072,0.37413040659885155,1.4151879377908014,1.8780370839047478,1.1553594347279623,2.259192007768717,-1,-1,0.0,0.0,0.0,0.0,0.0,28255822.957312282
41305.12349412835,0.37783826422673883,1.059493546363068,2.3352541113842142,0.9266113379716404,2.298154257013017,-1,-1,0.0,0.0,0.0,0.0,0.0,28255826.658662654
41305.127201985975,0.3815461218546261,1.0186761571828362,2.506710496689015,0.7436128605665837,2.6829064683004833,-1,-1,0.0,0.0,0.0,0.0,0.0,28255834.910597026
41305.1309098436,0.3852539794825134,1.7708823292185352,2.072354320583521,1.0867350057010654,2.483224940923444,-1,-1,0.0,0.0,0.0,0.0,0.0,28255844.979739398
41305.13461770123,0.38896183711040067,1.887503441162054,2.3123932600102406,1.2011090540792262,2.2299703208354913,-1,-1,0.0,0.0,0.0,0.0,0.0,28255848.972798776
41305.13832555886,0.39266969473828794,1.5318090497343204,2.8953449700465614,1.1553594347279623,2.195878352746729,-1,-1,0.0,0.0,0.0,0.0,0.0,28255857.44606615
41305.14203341649,0.3963775523661752,1.8700102743705267,2.6438756049328545,0.9266113379716404,2.0156779499918396,-1,-1,0.0,0.0,0.0,0.0,0.0,28255866.60020851
41305.145741274115,0.4000854099940625,2.25485994378414,2.4838496453150407,0.6978632412153181,2.0351590746139907,-1,-1,0.0,0.0,0.0,0.0,0.0,28255870.37164188
41305.15093639649,0.4052805323663051,2.126576720646269,2.666736456306827,0.49198995413463,2.137434978880279,-1,-1,0.0,0.0,0.0,0.0,0.0,28255877.187353514
41305.15469329774,0.4090374336228706,2.2431978325897877,2.655306030619841,0.3547410960808371,2.176397228124579,-1,-1,0.0,0.0,0.0,0.0,0.0,28255886.39566025
41305.158450199,0.41279433487943606,2.4181295005050667,2.4495583682540807,-0.19425433613433543,2.0887321673249035,-1,-1,0.0,0.0,0.0,0.0,0.0,28255890.159550995
41305.16220710026,0.41655123613600153,2.1090835538547408,2.438127942567094,-0.8118741973764028,2.0692510427027537,-1,-1,0.0,0.0,0.0,0.0,0.0,28255898.437524747
41305.16596400151,0.420308137392567,1.8000376072044153,2.621014753558881,-2.047113919860539,2.1910080715911917,-1,-1,0.0,0.0,0.0,0.0,0.0,28255901.51853948
41305.16972090277,0.4240650386491325,2.295677332964372,2.8953449700465606,-2.0471139198605384,2.2397108831465675,-1,-1,0.0,0.0,0.0,0.0,0.0,28255905.479763236
41305.173477804026,0.42782193990569795,1.6892475508580722,3.032510078290402,0.03449376062198711,2.5708900017231207,-1,-1,0.0,0.0,0.0,0.0,0.0,28255908.91886197
41305.17723470528,0.4315788411622634,0.9020550452393169,2.8381928416116287,0.7436128605665838,2.5660197205675823,-1,-1,0.0,0.0,0.0,0.0,0.0,28255917.172002714
41305.18099160654,0.4353357424188289,1.3627084374162177,2.8610536929856014,1.2011090540792269,2.4345221293680686,-1,-1,0.0,0.0,0.0,0.0,0.0,28255919.902268462
41305.184748507796,0.43909264367539436,1.3102289370416338,2.941066672794508,0.8579869089447446,2.7413498421669336,-1,-1,0.0,0.0,0.0,0.0,0.0,28255923.974325202
41305.18850540905,0.4428495449319598,1.3452152706246903,2.5410017737499744,-0.17137952645870194,2.8484960275887596,-1,-1,0.0,0.0,0.0,0.0,0.0,28255929.00600695
41305.19226231031,0.4466064461885253,1.934151885939462,2.506710496689014,-0.1485047167830699,2.716998436389246,-1,-1,0.0,0.0,0.0,0.0,0.0,28255937.690855697
41305.196019211566,0.45036334744509077,2.289846277367196,2.769610287489708,-0.1027550974318063,2.755960685633547,-1,-1,0.0,0.0,0.0,0.0,0.0,28255947.16366344
41305.19977611282,0.45412024870165624,2.4939332232683546,2.9524970984814938,-0.903373436078931,2.8095337783444596,-1,-1,0.0,0.0,0.0,0.0,0.0,28255951.181303177
41305.20353301408,0.4578771499582217,1.8875034411620553,2.9296362471075215,-1.132121532835252,3.023826149188112,-1,-1,0.0,0.0,0.0,0.0,0.0,28255959.577693924
41305.207289915335,0.4616340512147872,0.6629817657551021,2.598153902184908,-0.5602512909444477,3.1455831780765497,-1,-1,0.0,0.0,0.0,0.0,0.0,28255969.04554267
41305.21104681659,0.46539095247135265,0.7037991549353342,2.449558368254081,0.0802433799732509,2.90693940145521,-1,-1,0.0,0.0,0.0,0.0,0.0,28255972.612683415
41305.21480371785,0.4691478537279181,1.7125717732467756,2.4838496453150407,-0.034130668404909886,2.960512494166123,-1,-1,0.0,0.0,0.0,0.0,0.0,28255980.38599015
41305.218560619105,0.4729047549844836,2.0274487754942774,2.403836665506134,-0.9491230554301957,3.2429888011873005,-1,-1,0.0,0.0,0.0,0.0,0.0,28255989.725546896
41305.22231752036,0.47666165624104906,2.0041245531055742,1.866606658217761,-0.6060009102957138,3.5059839835863285,-1,-1,0.0,0.0,0.0,0.0,0.0,28255993.60356264
41305.228553428846,0.48289756472513545,1.963307163925342,1.9351892123396812,-0.057005478080541155,3.6861843863412163,-1,-1,0.0,0.0,0.0,0.0,0.0,28255999.15411215
41305.232283560574,0.4866276964530698,-0.7056269712753851,0.7217575905026011,-0.09211484782963766,1.8732121596605602,-1,-1,0.0,0.0,0.0,0.0,0.0,28256001.82885543
41305.2360136923,0.49035782818100415,-1.0298086701729947,0.8380150925019106,0.044525222723770214,2.097704900539099,-1,-1,0.0,0.0,0.0,0.0,0.0,28256005.7491407
41305.23974382403,0.4940879599089385,-0.9618336738967745,0.48581077640085674,0.5450138801636459,2.2814366306192264,-1,-1,0.0,0.0,0.0,0.0,0.0,28256009.403300967
41305.24347395576,0.49781809163687285,-0.9282040738150974,-0.03900274911258192,0.33334912718921483,2.6384590803329377,-1,-1,0.0,0.0,0.0,0.0,0.0,28256017.29316924
41305.247204087485,0.5015482233648072,-1.1619114915918884,-0.42678931630194344,0.1428350930019837,3.2216735492088886,-1,-1,0.0,0.0,0.0,0.0,0.0,28256020.403953515
41305.25093421921,0.5052783550927415,-1.3881902954940253,-0.7469961429982108,0.39230322054396893,3.560440297920818,-1,-1,0.0,0.0,0.0,0.0,0.0,28256024.33998879
41305.25466435094,0.5090084868206759,-1.5741795670714354,-0.715458183340778,-0.2670295542776273,3.4717480913304826,-1,-1,0.0,0.0,0.0,0.0,0.0,28256027.857649054
41305.25839448267,0.5127386185486102,-1.3319280473936541,-0.16249838508313938,-0.013389032719230112,3.0913118311536127,-1,-1,0.0,0.0,0.0,0.0,0.0,28256035.79918334
41305.2621246144,0.5164687502765446,-0.84396842530437,-0.22071677122554376,0.6283766826892583,2.7426858676869688,-1,-1,0.0,0.0,0.0,0.0,0.0,28256038.848135605
41305.265854746125,0.520198882004479,-0.526901136200559,-0.3887252192914537,0.7907171230432022,2.475527867949558,-1,-1,0.0,0.0,0.0,0.0,0.0,28256042.721086875
41305.26958487785,0.5239290137324133,-0.760625962726023,0.16239442011453573,0.8872119422118416,2.2790889351771333,-1,-1,0.0,0.0,0.0,0.0,0.0,28256046.51233014
41305.27331500958,0.5276591454603476,-0.7796244982437103,0.4149261904971329,0.754286810010969,2.030922887532199,-1,-1,0.0,0.0,0.0,0.0,0.0,28256054.689281423
41305.27704514131,0.531389277188282,-0.26237339316209124,0.2583431411028104,0.5702772166303935,1.7559016401865548,-1,-1,0.0,0.0,0.0,0.0,0.0,28256057.177566692
41305.28077527304,0.5351194089162163,-0.09648154858342123,0.16384729174176435,0.5246853190174967,1.657468713158538,-1,-1,0.0,0.0,0.0,0.0,0.0,28256060.70435196
41305.284505404765,0.5388495406441507,1.4151879377908017,1.5465547389821344,0.7893624799178482,3.773849447140892,-1,-1,0.0,0.0,0.0,0.0,0.0,28256064.398803238
41305.28823553649,0.542579672372085,0.7854339332957982,1.8208849554698159,0.3318662864052051,3.9686606933623945,-1,-1,0.0,0.0,0.0,0.0,0.0,28256072.99371351
